1268	2445	1398	537	1595	1451	908	734	1429	1820
1023	654	1276	907	363	2284	623	990	1461	391
877	1089	964	2127	873	2422	687	814	374	2487
2366	1399	1919	2418	688	1234	912	496	334	1440
1614	2298	1287	338	1790	1144	1723	1296	1549	972
1316	2015	1846	1929	1563	1668	1653	1319	2163	1619
727	2209	1024	1766	1676	1520	1694	653	568	489
955	402	2245	1477	1705	1380	2005	437	1681	722
2410	1415	1687	1648	1705	954	1605	1851	2172	1837
2284	1479	785	2492	1355	1901	585	1575	322	1371
807	1566	715	2389	1353	266	956	2123	1164	2495
1981	920	1288	1468	483	1170	1222	1279	1466	881
1694	725	645	2143	2303	2155	676	2148	1787	1344
1871	1692	1539	2353	1230	2468	1775	574	2261	866
2173	2068	1114	791	1742	1055	2481	1269	2180	1094
238	430	1481	1672	463	1135	837	1062	1255	1471
2086	2282	1184	813	2480	249	629	1651	867	2207
1109	2084	2060	329	264	1685	1459	1640	307	1814
723	2395	1994	461	1921	799	1073	1167	739	1744
2060	1313	719	503	1110	2450	610	1860	1758	254
2413	1402	954	1436	936	1253	1998	2049	1564	1110
2237	318	1172	2234	2335	1478	462	1809	2371	1505
1586	939	749	1113	1740	232	1102	1782	1499	823
1219	669	1163	2492	838	1116	624	1372	2126	1643
1466	1394	2435	852	1706	788	568	2372	994	1088
2098	645	2212	2403	1340	1587	1446	1976	1433	2434
1894	2320	1946	1151	299	1267	328	1223	490	2185
1515	1155	2128	625	1933	733	1810	1647	2109	276
2210	530	997	470	2210	437	1502	2154	2182	1767
899	1976	2295	2295	443	1263	1728	1467	2047	1310
1735	1495	736	2332	2365	1314	2000	2458	492	921
272	1662	431	1837	398	1076	498	1888	1632	1678
1016	331	1003	466	637	839	1140	1118	532	1192
1003	994	1481	1816	1043	1509	526	1627	2075	420
1758	2450	1411	2332	1932	2252	618	2050	1724	1102
1992	1801	1100	2031	492	1582	560	2338	2336	1764
1908	2246	326	306	1520	572	898	2138	2159	230
529	2046	1812	1139	282	1815	232	1393	1448	1487
1217	384	2154	599	906	984	627	701	274	678
1971	1080	1857	1599	610	481	468	2429	555	1297
418	1651	2158	258	758	802	1717	324	1748	446
384	1968	445	754	2305	2336	743	2345	2061	538
1540	1841	2413	2135	2406	2331	213	299	1095	1136
1473	1865	668	655	2251	1686	902	1101	222	497
390	1773	2405	1604	2266	1559	411	865	302	1822
1251	2357	1072	897	2438	1782	482	1615	1100	2116
1319	1152	521	2029	2244	2322	1746	1008	1638	1595
1265	249	976	2268	984	1102	1119	801	921	2075
929	396	2126	301	1765	2442	837	888	2107	598
1539	553	2453	413	1032	1790	2425	364	2076	1784
1655	1127	216	2353	1950	2316	2197	1768	1383	1293
979	2471	222	1150	2052	1159	2409	336	673	1256
1093	933	562	2212	1944	2304	1752	1756	421	1911
2073	2313	550	1494	1642	1824	1595	640	1296	246
1387	684	743	1863	2309	2452	2421	306	832	2131
394	1284	888	2417	1242	386	2013	1465	1174	1492
771	2446	724	1136	1919	1729	708	968	1660	539
1548	1809	1918	1155	2384	2073	838	2450	1340	633
1124	1332	1128	559	1321	1997	1434	2005	2245	1762
2083	1033	1184	907	1625	1126	2413	2060	2088	1366
251	1530	683	1065	381	1777	1023	1779	787	2167
592	530	1044	1038	867	2305	1622	1009	872	983
1713	1324	1379	355	1253	1609	1621	363	1477	1549
2196	908	1471	2458	1039	493	1514	370	714	1953
215	2307	805	2325	2127	1318	2130	1253	414	830
1592	2327	820	1506	636	2298	1728	1079	1832	2082
1543	2491	512	1829	2202	371	562	909	240	2149
2282	2123	2267	2216	1717	1510	1833	1002	2395	648
989	1916	1200	1482	606	351	1070	2286	1211	2045
693	428	1064	421	325	336	2370	1226	2018	1795
744	414	216	950	992	2121	1423	200	2352	307
591	774	2160	2447	2413	1840	1348	426	2128	2294
1941	2057	1776	1696	2023	1807	2377	1798	529	1176
995	660	1122	1229	766	1329	2345	2477	2423	2428
904	1664	1793	1488	757	1882	582	1997	224	2149
